Country,Indicator,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,,,1050.99,1118.87,1113.15,1240.38,1306.71,1464.72,1512.0,1788.4,1908.19,2010.83,2317.69,2385.71,2516.01,2534.92,2400.62,2515.55,2449.94,2543.14,2459.2,1990.99,,
Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.051,0.053,0.059,0.06,0.063,0.064,0.06,0.061,0.06,0.06,0.061,0.045,,
Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.946,19.101,18.375,,
Afghanistan,Total investment,Percent of GDP,,,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.039,18.192,16.462,,,
Afghanistan,Gross national savings,Percent of GDP,,,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,24.538,24.009,22.176,28.312,26.058,30.197,29.897,27.619,,,
Afghanistan,"Inflation, average consumer prices",Index,,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.671,126.859,144.25,
Afghanistan,"Inflation, average consumer prices",Percent change,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.607,5.128,13.709,
Afghanistan,"Inflation, end of period consumer prices",Index,,,42.89,45.691,51.752,57.219,59.671,69.273,82.306,74.211,81.814,89.433,94.687,101.543,103.053,104.218,109.0,112.315,113.162,116.3,122.1,137.516,144.727,
Afghanistan,"Inflation, end of period consumer prices",Percent change,,,,6.53,13.266,10.562,4.285,16.092,18.814,-9.836,10.246,9.312,5.875,7.241,1.487,1.131,4.588,3.041,0.755,2.773,4.987,12.626,5.243,
Afghanistan,Volume of imports of goods and services,Percent change,,,,35.841,-1.177,54.624,-1.965,-9.675,-8.734,29.946,33.497,13.486,29.319,3.479,-14.465,16.259,-7.346,4.446,-5.115,-7.839,-3.217,,,
Afghanistan,Volume of Imports of goods,Percent change,,,,33.557,-3.657,51.044,-0.513,-15.045,-4.457,27.952,34.955,8.697,33.338,7.693,-16.19,24.547,-6.979,2.6,-8.076,-6.651,-2.153,,,
Afghanistan,Volume of exports of goods and services,Percent change,,,,49.782,-8.119,43.274,-6.728,-11.459,-7.061,29.929,11.482,1.67,-19.843,-39.683,51.776,-10.666,-15.778,-6.21,28.366,-4.161,0.534,,,
Afghanistan,Volume of exports of goods,Percent change,,,,87.891,-29.441,14.597,-32.228,37.001,50.437,-21.376,-1.751,-10.762,9.889,6.042,35.435,14.807,12.577,17.643,2.861,1.593,-16.606,,,
Afghanistan,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Employment,Persons,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Population,Persons,,,18.707,19.477,20.237,20.947,21.596,22.426,22.997,23.596,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,32.941,33.698,34.263,
Afghanistan,General government revenue,National currency,,,12.235,21.618,31.209,44.926,65.518,81.163,88.162,117.745,154.612,177.821,260.571,271.903,280.187,301.356,344.327,347.829,405.873,395.923,397.564,215.32,,
Afghanistan,General government revenue,Percent of GDP,,,6.845,9.826,12.676,14.733,18.946,18.986,17.036,19.391,21.722,21.265,25.21,24.346,23.684,24.569,28.156,27.059,30.57,26.941,25.694,17.465,,
Afghanistan,General government total expenditure,National currency,,,12.411,26.242,37.101,47.868,63.294,91.817,108.251,128.548,148.052,183.439,258.689,278.95,300.521,318.255,342.771,356.482,384.176,411.473,432.266,219.373,,
Afghanistan,General government total expenditure,Percent of GDP,,,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,28.029,27.732,28.936,27.999,27.937,17.794,,
Afghanistan,General government net lending/borrowing,National currency,,,-0.176,-4.624,-5.891,-2.941,2.225,-10.654,-20.09,-10.803,6.56,-5.618,1.882,-7.047,-20.334,-16.898,1.556,-8.653,21.697,-15.55,-34.703,-4.053,,
Afghanistan,General government net lending/borrowing,Percent of GDP,,,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.127,-0.673,1.634,-1.058,-2.243,-0.329,,
Afghanistan,General government structural balance,National currency,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,General government primary net lending/borrowing,National currency,,,,,,-2.797,2.364,-10.524,-19.994,-10.691,6.643,-4.794,2.66,-6.075,-19.935,-16.27,2.35,-7.767,22.486,-14.971,-34.131,-3.649,,
Afghanistan,General government primary net lending/borrowing,Percent of GDP,,,,,,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,-2.206,-0.296,,
Afghanistan,General government net debt,National currency,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,General government gross debt,National currency,,,618.456,595.36,603.134,629.234,79.485,86.083,98.622,98.658,54.784,62.726,69.865,77.111,102.928,112.281,103.181,102.807,98.042,90.092,114.461,,,
Afghanistan,General government gross debt,Percent of GDP,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.697,7.501,6.759,6.904,8.7,9.154,8.437,7.998,7.384,6.13,7.397,,,
Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,,,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,1033.59,1116.83,1183.04,1226.57,1222.92,1285.46,1327.69,1469.6,1547.29,1232.86,,
Afghanistan,Current account balance,U.S. dollars,,,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.291,1.35,0.744,1.627,1.431,2.237,2.209,2.247,,,
Afghanistan,Current account balance,Percent of GDP,,,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.158,11.705,11.157,,,
Albania,"Gross domestic product, constant prices",National currency,391.33,423.784,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.339,700.125,707.14,719.688,735.657,760.044,788.943,820.653,837.786,810.121,882.291,925.032,958.396
Albania,"Gross domestic product, constant prices",Percent change,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.019,2.088,-3.302,8.909,4.844,3.607
Albania,"Gross domestic product, current prices",National currency,501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,1080.68,1143.94,1239.65,1300.62,1332.81,1350.05,1395.31,1434.31,1472.48,1550.65,1636.73,1691.9,1647.43,1856.17,2138.34,2312.46
Albania,"Gross domestic product, current prices",U.S. dollars,3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.192,17.984,19.083,23.032
Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,13.362,14.796,15.708,16.904,18.315,19.933,21.761,23.686,25.951,26.994,28.331,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.061,41.631,40.781,46.409,52.066,55.928
Albania,"Gross domestic product, deflator",Index,128.076,132.957,137.806,144.97,149.54,154.485,158.314,165.258,172.062,176.223,184.141,188.404,190.368,190.917,193.876,194.969,193.736,196.547,199.442,201.949,203.356,210.381,231.164,241.284
Albania,"Gross domestic product per capita, constant prices",National currency,126683.82,138483.63,145200.81,153802.8,162964.38,172852.94,184214.3,196717.32,213100.25,221737.48,231101.54,237622.4,241389.08,244254.87,249104.37,255374.21,264262.01,273542.43,284678.59,290805.66,281507.21,307104.63,322717.94,335288.94
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,6038.99,6601.48,6921.68,7331.74,7768.47,8239.85,8781.45,9377.46,10158.43,10570.17,11016.55,11327.4,11506.96,11643.57,11874.74,12173.62,12597.3,13039.7,13570.55,13862.63,13419.38,14639.6,15383.88,15983.14
Albania,"Gross domestic product per capita, current prices",National currency,162251.41,184123.19,200095.8,222968.14,243696.87,267031.94,291636.22,325091.66,366664.68,390752.87,425552.92,447689.08,459526.46,466324.61,482954.1,497901.56,511970.59,537640.3,567769.71,587280.3,572461.97,646089.37,746007.4,808998.9
Albania,"Gross domestic product per capita, current prices",U.S. dollars,1127.64,1283.57,1425.13,1846.12,2373.58,2673.77,2972.75,3595.05,4370.56,4114.09,4097.83,4439.89,4248.91,4415.6,4584.92,3953.61,4124.41,4525.89,5257.71,5345.06,5278.99,6259.76,6657.64,8057.49
Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,4325.59,4835.02,5148.56,5561.21,6050.65,6619.06,7271.78,7975.19,8805.05,9220.65,9725.55,10207.74,10526.27,10570.98,11259.26,11662.0,12077.6,13039.7,13896.82,14450.53,14171.03,16154.03,18164.43,19566.01
Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.026,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.031,0.032,0.031,0.031,0.03,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031,0.032,0.032
Albania,Implied PPP conversion rate,National currency per current international dollar,37.51,38.081,38.864,40.093,40.276,40.343,40.105,40.763,41.643,42.378,43.756,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.856,40.641,40.397,39.996,41.07,41.347
Albania,Total investment,Percent of GDP,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.118,23.032,22.677,25.469,24.873,25.072
Albania,Gross national savings,Percent of GDP,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.109,14.742,13.991,16.661,17.897,19.093
Albania,"Inflation, average consumer prices",Index,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100.0,101.287,103.297,105.393,106.88,108.613,110.831,118.286,123.937
Albania,"Inflation, average consumer prices",Percent change,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.287,1.985,2.029,1.411,1.621,2.043,6.726,4.777
Albania,"Inflation, end of period consumer prices",Index,70.004,72.474,73.692,76.123,77.8,79.385,81.38,83.843,85.7,88.7,91.8,93.4,95.7,97.4,98.1,100.0,102.165,104.011,105.882,107.1,108.225,112.229,120.563,125.148
Albania,"Inflation, end of period consumer prices",Percent change,4.205,3.527,1.681,3.298,2.204,2.038,2.513,3.027,2.215,3.501,3.495,1.743,2.463,1.776,0.719,1.937,2.165,1.808,1.799,1.15,1.051,3.7,7.425,3.803
Albania,Volume of imports of goods and services,Percent change,-3.432,23.272,11.868,8.409,10.704,8.434,5.36,18.95,3.567,-2.225,-9.36,3.639,-7.604,-0.612,5.418,0.07,8.264,6.032,5.766,4.719,-19.547,23.655,11.68,11.451
Albania,Volume of Imports of goods,Percent change,-14.3,33.181,6.066,7.733,21.067,9.912,7.134,21.24,-0.65,-2.59,-11.014,3.808,-5.195,-1.306,6.113,2.159,9.381,4.39,4.234,3.459,-5.092,18.143,4.052,3.107
Albania,Volume of exports of goods and services,Percent change,16.254,23.9,3.878,9.51,20.63,6.026,12.578,17.0,-7.623,3.321,10.451,1.013,-0.407,8.288,3.199,5.908,10.388,10.113,3.523,1.651,-27.44,41.449,25.247,7.493
Albania,Volume of exports of goods,Percent change,-7.088,23.048,8.253,25.15,24.013,2.948,5.279,19.999,-54.982,-15.604,60.692,12.221,23.237,26.686,-6.564,6.572,-0.129,-1.377,14.145,-8.415,-1.946,18.816,20.158,-15.656
Albania,Unemployment rate,Percent of total labor force,16.8,16.44,15.751,15.0,14.4,14.1,13.8,13.4,13.1,13.8,14.0,14.0,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675,11.4,11.1,11.0
Albania,Employment,Persons,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Population,Persons,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.884,2.883,2.881,2.878,2.873,2.866,2.858
Albania,General government revenue,National currency,130.642,145.639,154.595,167.224,184.355,204.533,226.283,252.291,290.078,298.487,320.653,330.449,330.384,323.709,366.569,379.231,407.021,430.397,449.389,460.349,425.906,510.951,572.79,658.258
Albania,General government revenue,Percent of GDP,26.066,25.848,25.323,24.674,24.992,25.434,25.928,26.13,26.842,26.093,25.867,25.407,24.789,23.977,26.272,26.44,27.642,27.756,27.457,27.209,25.853,27.527,26.787,28.466
Albania,General government total expenditure,National currency,169.596,184.163,192.517,201.152,222.439,232.339,254.762,282.987,342.86,373.832,364.29,376.183,376.241,394.117,442.718,441.161,429.073,452.193,475.91,491.928,536.28,596.178,651.015,716.359
Albania,General government total expenditure,Percent of GDP,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.758,29.139,29.162,29.077,29.075,32.552,32.119,30.445,30.978
Albania,General government net lending/borrowing,National currency,-38.954,-38.524,-37.922,-33.928,-38.083,-27.806,-28.479,-30.695,-52.782,-75.345,-43.637,-45.734,-45.857,-70.408,-76.149,-61.931,-22.052,-21.795,-26.521,-31.579,-110.374,-85.227,-78.226,-58.1
Albania,General government net lending/borrowing,Percent of GDP,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.318,-1.498,-1.406,-1.62,-1.866,-6.7,-4.592,-3.658,-2.512
Albania,General government structural balance,National currency,,,,,,,,,,,,,,,,,,,,,,,,
Albania,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,
Albania,General government primary net lending/borrowing,National currency,-9.381,-14.904,-13.159,-4.105,-9.66,-1.777,-3.474,-5.166,-21.476,-39.044,-2.033,-4.611,-4.359,-27.073,-36.074,-23.288,14.207,10.109,9.993,3.564,-75.98,-49.405,-38.602,2.936
Albania,General government primary net lending/borrowing,Percent of GDP,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.005,-2.585,-1.624,0.965,0.652,0.611,0.211,-4.612,-2.662,-1.805,0.127
Albania,General government net debt,National currency,,,,,,,,,,,,756.42,807.38,921.361,914.43,986.827,1028.47,1015.75,1006.27,1023.53,1148.99,1213.78,1246.1,1223.29
Albania,General government net debt,Percent of GDP,,,,,,,,,,,,58.158,60.577,68.246,65.536,68.802,69.846,65.505,61.481,60.496,69.744,65.392,58.274,52.9
Albania,General government gross debt,National currency,319.608,341.522,391.308,408.3,423.962,468.05,494.737,517.043,595.883,682.547,715.517,772.735,828.268,950.316,1004.51,1057.32,1079.69,1114.83,1137.07,1139.8,1248.3,1396.17,1401.61,1455.45
Albania,General government gross debt,Percent of GDP,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.324,71.895,69.472,67.368,75.772,75.218,65.547,62.94
Albania,"Gross domestic product corresponding to fiscal year, current prices",National currency,501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,1080.68,1143.94,1239.65,1300.62,1332.81,1350.05,1395.31,1434.31,1472.48,1550.65,1636.73,1691.9,1647.43,1856.17,2138.34,2312.46
Albania,Current account balance,U.S. dollars,-0.246,-0.248,-0.443,-0.432,-0.42,-0.733,-0.592,-1.13,-2.031,-1.853,-1.351,-1.666,-1.257,-1.183,-1.43,-0.981,-0.898,-0.978,-1.024,-1.166,-1.315,-1.38,-1.138,-1.373
Albania,Current account balance,Percent of GDP,-7.07,-6.315,-10.179,-7.695,-5.849,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.754,-7.571,-8.659,-7.676,-5.966,-5.96
Algeria,"Gross domestic product, constant prices",National currency,4103.98,4227.1,4463.82,4785.21,4990.98,5285.44,5374.48,5555.75,5686.88,5779.7,5988.7,6162.37,6371.89,6550.3,6799.22,7050.79,7276.41,7378.28,7466.82,7541.49,7156.87,7400.21,7637.01,7929.93
Algeria,"Gross domestic product, constant prices",Percent change,3.8,3.0,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,1.0,-5.1,3.4,3.2,3.835
Algeria,"Gross domestic product, current prices",National currency,4123.5,4227.1,4522.8,5252.3,6149.1,7562.0,8501.64,9352.89,11043.7,9968.03,11991.56,14589.0,16209.6,16647.9,17228.6,16712.69,17514.6,18575.7,20393.5,20500.2,18476.9,22079.3,27688.8,30421.88
Algeria,"Gross domestic product, current prices",U.S. dollars,54.749,54.745,56.761,67.864,85.332,103.198,117.027,134.977,171.001,137.211,161.207,200.02,209.059,209.755,213.81,165.979,160.034,167.498,174.868,171.673,145.656,163.138,195.06,224.107
Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,261.998,275.938,295.932,323.5,346.468,378.416,396.663,421.124,439.329,449.362,471.208,494.947,497.33,497.988,506.135,477.358,471.382,478.068,495.437,509.366,489.697,529.091,584.271,628.99
Algeria,"Gross domestic product, deflator",Index,100.476,100.0,101.321,109.761,123.204,143.072,158.185,168.346,194.196,172.466,200.237,236.743,254.392,254.155,253.391,237.033,240.704,251.762,273.122,271.832,258.17,298.361,362.561,383.634
Algeria,"Gross domestic product per capita, constant prices",National currency,134530.28,136560.7,142096.44,150077.23,154204.31,160871.84,161148.9,164089.77,164403.3,163879.39,166454.45,167834.26,169939.75,171039.61,173830.74,176432.86,178186.2,176848.14,175368.05,173670.99,163208.89,166010.52,168621.54,172489.5
Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,8716.75,8848.31,9206.99,9724.1,9991.51,10423.53,10441.48,10632.03,10652.34,10618.4,10785.25,10874.65,11011.07,11082.34,11263.19,11431.79,11545.39,11458.7,11362.79,11252.84,10574.95,10756.48,10925.66,11176.28
Algeria,"Gross domestic product per capita, current prices",National currency,135170.13,136560.7,143974.02,164726.36,189986.41,230162.84,254913.97,276238.6,319265.23,282636.54,333302.68,397336.38,432313.64,434705.07,440471.44,418203.99,428900.97,445236.21,478968.01,472093.77,421356.41,495309.95,611355.23,661728.04
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,1794.7,1768.58,1806.86,2128.39,2636.48,3141.03,3508.96,3986.56,4943.5,3890.52,4480.72,5447.6,5575.65,5477.06,5466.33,4153.32,3918.94,4014.71,4107.0,3953.4,3321.6,3659.71,4306.82,4874.71
Algeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,8588.41,8914.44,9420.38,10145.84,10704.69,11517.75,11893.6,12437.94,12700.67,12741.34,13097.1,13480.05,13263.91,13003.31,12940.0,11944.99,11543.3,11458.7,11635.98,11730.06,11167.29,11869.22,12900.41,13681.62
Algeria,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.518,0.521,0.535,0.551,0.546,0.552,0.533,0.523,0.52,0.531,0.522,0.517,0.493,0.471,0.461,0.426,0.405,0.39,0.381,0.375,0.367,0.357,0.357,0.36
Algeria,Implied PPP conversion rate,National currency per current international dollar,15.739,15.319,15.283,16.236,17.748,19.983,21.433,22.209,25.138,22.183,25.449,29.476,32.593,33.43,34.04,35.011,37.156,38.856,41.163,40.246,37.731,41.731,47.39,48.366
Algeria,Total investment,Percent of GDP,23.563,26.841,30.654,30.341,33.263,31.656,30.17,34.469,37.348,46.876,41.43,38.055,39.158,43.39,45.554,50.781,50.778,48.049,47.415,44.694,43.819,37.928,33.709,36.501
Algeria,Gross national savings,Percent of GDP,40.261,39.737,38.333,43.32,46.29,52.143,54.872,57.119,57.461,47.167,48.936,47.946,45.034,43.778,41.131,34.326,34.221,34.717,37.76,34.843,30.993,35.162,43.482,39.416
Algeria,"Inflation, average consumer prices",Index,95.969,100.0,101.433,105.755,109.952,111.472,114.048,118.244,123.985,131.103,136.23,142.36,155.053,160.1,164.77,172.653,183.699,193.97,202.253,206.2,211.18,226.44,247.425,269.582
Algeria,"Inflation, average consumer prices",Percent change,0.3,4.2,1.433,4.261,3.968,1.382,2.311,3.679,4.855,5.741,3.911,4.5,8.916,3.255,2.917,4.784,6.398,5.591,4.27,1.952,2.415,7.226,9.267,8.955
Algeria,"Inflation, end of period consumer prices",Index,95.969,100.0,102.1,107.78,110.14,111.49,115.77,121.33,127.23,134.55,138.216,145.348,158.48,160.3,168.72,176.08,188.33,197.62,202.96,207.9,215.21,233.47,255.17,275.605
Algeria,"Inflation, end of period consumer prices",Percent change,0.3,4.2,2.1,5.563,2.19,1.226,3.839,4.803,4.863,5.753,2.725,5.16,9.035,1.148,5.253,4.362,6.957,4.933,2.702,2.434,3.516,8.485,9.295,8.008
Algeria,Volume of imports of goods and services,Percent change,7.6,11.2,23.2,-2.911,21.906,6.465,0.444,24.57,37.277,3.624,-0.038,5.998,7.322,7.664,9.298,-6.07,-1.236,-0.82,-1.603,-9.688,-18.987,-5.749,-4.909,14.345
Algeria,Volume of Imports of goods,Percent change,4.084,4.368,27.738,7.035,25.489,6.694,1.053,21.017,33.935,2.571,-0.159,7.026,11.403,9.583,11.375,-5.539,-1.841,-1.975,-2.945,-7.755,-18.169,-4.124,-6.356,14.345
Algeria,Volume of exports of goods and services,Percent change,3.325,-1.696,5.798,6.754,2.729,4.954,-3.007,-1.882,-3.568,-8.443,-3.218,-4.822,-3.652,-6.394,0.311,5.733,9.612,0.042,-7.913,-2.954,-4.154,15.855,28.717,-11.606
Algeria,Volume of exports of goods,Percent change,4.952,-2.225,3.64,7.286,3.386,5.276,-2.356,-1.933,-3.264,-10.312,-2.883,-3.815,-4.004,-6.89,0.474,1.755,7.883,2.628,-6.888,-4.463,-9.322,23.775,32.281,-17.755
Algeria,Unemployment rate,Percent of total labor force,29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.343,10.167,9.961,9.971,10.969,9.829,10.6,11.214,10.498,11.709,11.731,11.383,,,,
Algeria,Employment,Persons,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Population,Persons,30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.836,41.721,42.578,43.424,43.851,44.577,45.291,45.973
Algeria,General government revenue,National currency,1578.16,1479.1,1603.28,1947.44,2215.17,3080.7,3639.91,3725.65,5253.05,3667.48,4462.33,5838.34,6339.34,5957.55,5738.07,5104.74,5011.58,6047.89,6826.88,6601.58,5640.94,6597.54,9467.32,10237.93
Algeria,General government revenue,Percent of GDP,38.272,34.991,35.449,37.078,36.024,40.739,42.814,39.834,47.566,36.792,37.212,40.019,39.109,35.786,33.305,30.544,28.614,32.558,33.476,32.202,30.53,29.881,34.192,33.653
Algeria,General government total expenditure,National currency,1179.31,1334.51,1592.75,1536.99,1793.71,2184.02,2489.21,3268.75,4346.05,4380.51,4640.49,6006.87,7050.23,6101.26,7113.74,7724.88,7355.32,7638.17,8222.85,8566.21,7839.47,8186.38,10258.58,12857.06
Algeria,General government total expenditure,Percent of GDP,28.6,31.57,35.216,29.263,29.17,28.882,29.279,34.949,39.353,43.946,38.698,41.174,43.494,36.649,41.29,46.222,41.995,41.119,40.321,41.786,42.428,37.077,37.05,42.263
Algeria,General government net lending/borrowing,National currency,398.854,144.595,10.535,410.451,421.456,896.671,1150.69,456.892,907.001,-713.026,-178.165,-168.527,-710.888,-143.714,-1375.67,-2620.15,-2343.74,-1590.28,-1395.96,-1964.63,-2198.53,-1588.84,-791.255,-2619.14
Algeria,General government net lending/borrowing,Percent of GDP,9.673,3.421,0.233,7.815,6.854,11.858,13.535,4.885,8.213,-7.153,-1.486,-1.155,-4.386,-0.863,-7.985,-15.678,-13.382,-8.561,-6.845,-9.583,-11.899,-7.196,-2.858,-8.609
Algeria,General government structural balance,National currency,,,,,,,,,,,,,,,,,,,,,,,,
